"partId","PROLIFIC_PID","gender","nationality","education","date","task","trial","left","right","rating","rt"
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",39,"Ex1","Ex4",6.02757493,2.3146
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",40,"Ex8","Ex2",4.957633177,2.7275
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",41,"Ex8","Ex3",4.967494239,3.2308
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",42,"Ex6","Ex3",6.0029219,2.7323
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",43,"Ex5","Ex8",6.959459186,2.2643
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",44,"Ex1","Ex6",6.964390093,3.0157
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",45,"Ex3","Ex8",6.929876,3.2483
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",46,"Ex6","Ex2",6.979182061,2.1644
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",47,"Ex4","Ex1",6.022644023,3.1492
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",48,"Ex3","Ex4",2.96566823,2.5811
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",49,"Ex6","Ex4",6.979182061,2.7844
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",50,"Ex2","Ex3",4.030679077,3.0647
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",51,"Ex1","Ex2",4.030679077,1.714
