"partId","exemplars","Ex1","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9","Ex10","Ex11","Ex12","Ex13","Ex14","Ex15","Ex16"
"parID_3","Ex16",,,,,,,,,1.001582505,1.048465769,3.896615347,1.001582505,1.025024137,2.912070028,,
"parID_4","Ex1",,1.4,3.008333333,1.141666667,1.058333333,2.008333333,1.033333333,3.108333333,,,,,,,,
"parID_4","Ex2",1.033333333,,1.033333333,1.416666667,2.95,4.983333333,3.991666667,1.008333333,,,,,,,,
"parID_4","Ex3",2.975,2.975,,1.116666667,2.916666667,5,1.05,2.025,,,,,,,,
"parID_4","Ex4",2.008333333,1.016666667,1.025,,2.983333333,1.1,2.975,2.933333333,,,,,,,,
"parID_4","Ex5",2.033333333,1.325,1.108333333,4.041666667,,1.083333333,2.075,1.041666667,,,,,,,,
"parID_4","Ex6",3.016666667,5.933333333,5.991666667,2.125,1.175,,5.083333333,1.991666667,,,,,,,,
"parID_4","Ex7",1.958333333,3.966666667,1.025,2.033333333,3.083333333,4.016666667,,1.275,,,,,,,,
"parID_4","Ex8",1.05,1.35,3.966666667,1.3,1.983333333,4.008333333,,,,,,,,,,
"parID_4","Ex9",,,,,,,,,,1.05,3.983333333,1.866666667,2.933333333,4.333333333,1.125,3.075
"parID_4","Ex10",,,,,,,,,1.05,,1.083333333,1.166666667,3.025,1.116666667,1.05,1
"parID_4","Ex11",,,,,,,,,5,1.033333333,,1.066666667,1.058333333,4.1,1.8,1.066666667
"parID_4","Ex12",,,,,,,,,3.141666667,1.008333333,4.983333333,,2.983333333,4.941666667,1.933333333,3.175
"parID_4","Ex13",,,,,,,,,1,1.066666667,1.216666667,1.058333333,,2.858333333,1.075,3.225
"parID_4","Ex14",,,,,,,,,3.866666667,4.016666667,5.025,2.825,2.975,,2.366666667,4.908333333
"parID_4","Ex15",,,,,,,,,1.058333333,2.233333333,3.091666667,1.125,1.125,1.616666667,,1.925
"parID_4","Ex16",,,,,,,,,3.033333333,1.091666667,3.9,5.933333333,2.058333333,4.075,,
"parID_5","Ex1",,1.058333333,1,1.075,1.075,1.083333333,2.108333333,1.875,,,,,,,,
"parID_5","Ex2",1,,1,1.016666667,1.108333333,3.883333333,2.833333333,1.041666667,,,,,,,,
"parID_5","Ex3",1.508333333,1.058333333,,1.008333333,1.041666667,1.016666667,2.091666667,1.083333333,,,,,,,,
"parID_5","Ex4",2.233333333,1.4,1.541666667,,1.016666667,1.475,2.7,1.083333333,,,,,,,,
"parID_5","Ex5",1.083333333,1.083333333,1,1.083333333,,1.083333333,1.333333333,1.083333333,,,,,,,,
"parID_5","Ex6",2.525,3.275,5.65,1.716666667,1.016666667,,6.108333333,1.075,,,,,,,,
"parID_5","Ex7",1.425,2.108333333,2.958333333,1.675,1.058333333,6.416666667,,1.008333333,,,,,,,,
"parID_5","Ex8",1.083333333,1.05,1.008333333,1.083333333,1,1.633333333,,,,,,,,,,
"parID_5","Ex9",,,,,,,,,,1.041666667,1.066666667,1.241666667,1.891666667,1.066666667,1.008333333,1.575
"parID_5","Ex10",,,,,,,,,1.1,,1,1.008333333,1.008333333,1.891666667,1.641666667,1
"parID_5","Ex11",,,,,,,,,1,1.141666667,,1.075,1.05,1.083333333,4.491666667,1.016666667
"parID_5","Ex12",,,,,,,,,1.641666667,1,1.025,,1,1.975,1,2.525
"parID_5","Ex13",,,,,,,,,1.833333333,1,1.075,1,,1.05,1.05,1
"parID_5","Ex14",,,,,,,,,1.05,2.033333333,1,1.4,1.091666667,,1.066666667,1.141666667
"parID_5","Ex15",,,,,,,,,1.05,1.725,2.425,1.033333333,1.05,1.6,,1.016666667
"parID_5","Ex16",,,,,,,,,1.6,1.016666667,1.066666667,1.866666667,1.433333333,1,,
"parID_6","Ex1",,2.300000191,8.708333333,3.616666794,4.416666667,1.48333327,5.191666921,4.258333206,,,,,,,,
"parID_6","Ex2",2,,4.758333206,5.833333333,4.983333588,9.591667175,2.225000064,3.125,,,,,,,,
"parID_6","Ex3",4.441666921,5.21666654,,3.100000381,2.416666667,5.241666794,4.433333715,7.600000381,,,,,,,,
"parID_6","Ex4",5.15833346,8.391666412,3.641667048,,5.191666921,3.508333206,2.78333346,3.433333715,,,,,,,,
"parID_6","Ex5",6.291666667,5.866666794,6.566666921,4.608333588,,5.674999873,4.766667048,6.058333715,,,,,,,,
"parID_6","Ex6",3.850000381,9.325000763,6.200000127,8.016667048,3.850000381,,2.26666673,2.416666667,,,,,,,,
"parID_6","Ex7",2.691666603,2.01666673,3.308333715,4.116666794,4.75,5.275000254,,6.558333715,,,,,,,,
"parID_6","Ex8",4.666666667,1.675000191,4.450000127,2.708333333,6.96666654,3.183333715,,,,,,,,,,
"parID_6","Ex9",,,,,,,,,,2.491666794,3.549999873,8.125,4.450000127,7.924999873,1.975000064,1.683333397
"parID_6","Ex10",,,,,,,,,1.550000191,,1.683333397,2.125,3.825000127,4.241666794,3.84166654,1.841666857
"parID_6","Ex11",,,,,,,,,6.366666794,1.133333524,,3.608333588,2.816666603,6.458333333,4.950000127,2.600000064
"parID_6","Ex12",,,,,,,,,5.558333715,1.550000191,4.46666654,,2.241666794,5.450000127,4.600000381,5.775000254
"parID_6","Ex13",,,,,,,,,5.84166654,3.641667048,2.700000127,1.716666857,,5.041666667,2.716666857,1.5
"parID_6","Ex14",,,,,,,,,7.391667048,1.85833327,8.041666667,3.041666667,7.850000381,,2.616666794,2.48333327
"parID_6","Ex15",,,,,,,,,1.800000191,3.541666667,3.633333206,2.366666794,2.083333333,4.71666654,,1.25
"parID_6","Ex16",,,,,,,,,2.149999936,1.15833346,1.60833327,5.508333206,1.691666603,2.050000191,,
"parID_7","Ex1",,4.675,3.7,7.583333333,5.15,7.116666667,6.058333333,5.358333333,,,,,,,,
"parID_7","Ex2",3.933333333,,5.45,6.125,8.25,7.541666667,4.45,4.508333333,,,,,,,,
"parID_7","Ex3",7.583333333,3.541666667,,3.791666667,6.1,6.858333333,5.725,3.983333333,,,,,,,,
"parID_7","Ex4",6.458333333,7.208333333,3.858333333,,6.725,6.541666667,6.483333333,8.066666667,,,,,,,,
"parID_7","Ex5",5.516666667,7.15,4.8,7.05,,5.95,8.166666667,6.225,,,,,,,,
"parID_7","Ex6",4.891666667,6.883333333,5.9,8.091666667,2.725,,5.9,4.033333333,,,,,,,,
"parID_7","Ex7",7.325,5.566666667,6.975,8.058333333,6.408333333,7.458333333,,6.225,,,,,,,,
"parID_7","Ex8",6.933333333,5.058333333,5.775,6.325,6.591666667,6.575,,,,,,,,,,
"parID_7","Ex9",,,,,,,,,,1.641666667,6.025,8.125,7.808333333,6.066666667,5.85,6.041666667
"parID_7","Ex10",,,,,,,,,2.508333333,,2.616666667,2.158333333,6.025,7.483333333,5.5,1.391666667
"parID_7","Ex11",,,,,,,,,5.683333333,2.058333333,,4.6,1.775,5.833333333,6.016666667,4.358333333
"parID_7","Ex12",,,,,,,,,5.916666667,2.366666667,7.1,,2.425,3.55,4.958333333,7.375
"parID_7","Ex13",,,,,,,,,7.258333333,2.341666667,2.466666667,2.433333333,,4.2,2.083333333,2.616666667
"parID_7","Ex14",,,,,,,,,5.541666667,5.958333333,6.05,5.983333333,6.175,,6.983333333,5.933333333
"parID_7","Ex15",,,,,,,,,3.383333333,6.05,7.266666667,2.691666667,2.683333333,5.041666667,,2.75
"parID_7","Ex16",,,,,,,,,2.883333333,1.65,2.883333333,6.016666667,2.416666667,6.008333333,,
"parID_8","Ex1",,5,4.958333333,2.916666667,5,5.991666667,5.091666667,6.941666667,,,,,,,,
"parID_8","Ex2",2.85,,5.133333333,4.9,5.075,5.15,5,5.066666667,,,,,,,,
"parID_8","Ex3",5.058333333,5.025,,3.933333333,5.016666667,7.041666667,2.916666667,4.041666667,,,,,,,,
"parID_8","Ex4",4.966666667,4.908333333,4.241666667,,6.016666667,4.866666667,3.983333333,3.941666667,,,,,,,,
"parID_8","Ex5",5.866666667,4.983333333,4.975,6.033333333,,6.008333333,4.041666667,5.033333333,,,,,,,,
"parID_8","Ex6",5.025,5.033333333,7.158333333,4.016666667,5.016666667,,5.008333333,6.8,,,,,,,,
"parID_8","Ex7",3.95,5.016666667,4.966666667,5.025,3.941666667,5.016666667,,5,,,,,,,,
"parID_8","Ex8",6.975,4.075,7.008333333,5.041666667,5,6.891666667,,,,,,,,,,
"parID_8","Ex9",,,,,,,,,,5.083333333,8.1,5.941666667,6.075,6.866666667,4.95,4.966666667
"parID_8","Ex10",,,,,,,,,4.991666667,,5.1,4.975,6.925,5.825,4.991666667,4.991666667
"parID_8","Ex11",,,,,,,,,6.075,5.041666667,,5.016666667,4.95,6.966666667,5.05,5.008333333
"parID_8","Ex12",,,,,,,,,6.891666667,6.866666667,7.1,,6.075,7.95,4.991666667,5.941666667
"parID_8","Ex13",,,,,,,,,5.125,6.866666667,2.925,4.983333333,,5.825,6.066666667,5.141666667
"parID_8","Ex14",,,,,,,,,5.941666667,4.983333333,6.966666667,7.841666667,6.066666667,,5,4.991666667
"parID_8","Ex15",,,,,,,,,4.966666667,4.991666667,6.075,5.041666667,4.966666667,4.991666667,,4.983333333
"parID_8","Ex16",,,,,,,,,6.983333333,5.041666667,7.05,6.025,4.991666667,4.95,,
"parID_9","Ex1",,3.356250286,7.056250572,6.699999809,3.875,7.168749809,4.431250095,4.856250286,,,,,,,,
"parID_9","Ex2",2.0625,,3.737500191,6.90625,8.574999809,9.193750381,4.512500286,7.275000572,,,,,,,,
"parID_9","Ex3",6.324999809,6.931250572,,4.9375,4.793750286,7.018750191,5.987500191,8.475000381,,,,,,,,
"parID_9","Ex4",7.1875,7.050000191,5.087500095,,7.368750572,8.087500572,4.162499905,8.275000572,,,,,,,,
"parID_9","Ex5",6.893750191,6.768750191,4.700000286,6.831250191,,5.368750095,6.681250572,8.168749809,,,,,,,,
"parID_9","Ex6",7.775000572,9.237500191,7.637499809,7.181250572,7.925000191,,6.5,8.018750191,,,,,,,,
"parID_9","Ex7",4.193749905,4.806250095,8.393750191,6.71875,4.21875,7.59375,,4.75,,,,,,,,
"parID_9","Ex8",4.224999905,6.53125,7.006250381,8.018750191,8.756250381,7.78125,,,,,,,,,,
"parID_9","Ex9",,,,,,,,,,5.393750191,7.612500191,9.462500572,7.84375,7.512499809,1.78125,9.168749809
"parID_9","Ex10",,,,,,,,,1.262500048,,4.743750095,5.987500191,7.868750572,2.787499905,4.075000286,6.512499809
"parID_9","Ex11",,,,,,,,,8.018750191,1.056250095,,7.287500381,3.212500095,7.09375,8.350000381,8.231249809
"parID_9","Ex12",,,,,,,,,7.131250381,7.025000572,5.4375,,9.181250572,2.75,2.543750286,8.206250191
"parID_9","Ex13",,,,,,,,,9.431250572,6.462500572,2.412499905,8.300000191,,2.050000191,1.393749952,6.449999809
"parID_9","Ex14",,,,,,,,,7.012499809,9.581250191,3.6875,7.1875,4.787499905,,6.375,3.606250286
"parID_9","Ex15",,,,,,,,,5.856249809,4.481250286,7.131250381,5.1875,2.331250191,5.543749809,,4.393750191
"parID_9","Ex16",,,,,,,,,6.9375,3.175000191,4.818749905,7.28125,5.743750572,3.393750191,,
"parID_10","Ex1",,1.454285714,8.311428571,2.86,1.591428571,6.691428571,6.168571429,4.162857143,,,,,,,,
"parID_10","Ex2",3.802857143,,6.742857143,6.014285714,4.934285714,3.588571429,2.045714286,2.654285714,,,,,,,,
