"participant","subjectId","first","task","difficulty","set","phase","condition2","blocks","blocksPhase","nTrials","pCorrect","avgRt","medRt"
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",4,4,8,1,0.5335625,0.5323
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",5,5,8,1,0.5028375,0.489
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",6,6,8,0.875,0.5130125,0.5252
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",7,1,8,0.625,0.6693875,0.71015
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",8,2,8,1,0.6812625,0.6621
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",9,3,8,0.75,0.6314875,0.6451
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",10,4,8,0.875,0.6244,0.62935
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",11,5,8,1,0.735725,0.6554
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,2,"total-reversed",12,6,8,0.875,0.7377625,0.6758
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",1,1,4,0.25,1.37825,1.2111
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",2,2,4,1,1.22035,1.2002
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",3,3,4,1,0.810525,0.7833
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",4,4,4,0.5,0.6901,0.65665
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",5,5,4,1,0.590925,0.59415
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-reversed",6,6,4,0.25,0.4739,0.4883
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",1,1,4,0.5,1.22025,1.29185
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",2,2,4,0.75,1.1081,1.16875
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",3,3,4,1,0.814,0.83615
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",4,4,4,0.5,0.811375,0.78725
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",5,5,4,1,0.65665,0.60325
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,1,"partial-nonreversed",6,6,4,1,0.503425,0.4863
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",7,1,4,0.25,0.534175,0.51435
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",8,2,4,0.25,0.47825,0.44205
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",9,3,4,0.75,0.66025,0.62985
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",10,4,4,0.25,0.627075,0.62375
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",11,5,4,0.75,0.7025,0.6737
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-reversed",12,6,4,0.5,0.618575,0.6051
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",7,1,4,1,0.637625,0.6004
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",8,2,4,1,0.845025,0.78355
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",9,3,4,0.5,0.66775,0.6968
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",10,4,4,0.75,0.87635,0.8208
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",11,5,4,0.75,0.669175,0.64535
"60e3b450cc89a0046b21c5bc","P21","first-partial","partial","easy",2,2,"partial-nonreversed",12,6,4,1,0.627325,0.5998
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",1,1,8,0.625,0.8232375,0.74695
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",2,2,8,1,0.674225,0.6196
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",3,3,8,0.875,0.6451625,0.60555
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",4,4,8,0.625,0.593325,0.57285
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",5,5,8,0.875,0.6380625,0.60735
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,1,"total-reversed",6,6,8,0.875,0.626625,0.56255
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",7,1,8,0.375,0.7356625,0.67985
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",8,2,8,0.875,0.6561875,0.61415
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",9,3,8,0.875,0.8769125,0.8078
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",10,4,8,0.875,0.6580625,0.57725
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",11,5,8,0.75,0.864225,0.9049
