"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"6400d919945d23676a68b781","first-total","easy",4,1.307,0.90545,0.8879,0.87675,0.82205,0.8791,1.04045,1.13015,0.9592,0.9216,1.1403,0.9838,1.03415,1.2621,1.1848,0.6548,0.9046,0.7277,0.9776,1.24315,1.3581,1.308,0.59555,0.7166,1.0242,0.9155,0.901,0.68965,0.6885,0.7082,0.8087,1.2213,0.81825,0.85465,0.7547,0.5382
"6413603a62c72120012e05be","first-partial","easy",5,0.767,0.5735,0.594,0.542,0.575,0.5505,0.7125,0.628,0.697,0.7615,0.6575,0.6445,0.9665,0.9555,0.876,0.813,0.607,0.538,0.6465,0.775,0.6795,0.6105,0.6905,0.5045,0.8925,1.0625,1.1465,0.8755,0.7795,0.755,0.747,0.8505,0.691,0.5625,0.68,0.542
"646e53ef6c1dac9a13cd2985","first-partial","easy",6,0.7997,0.8419,0.6993,0.6332,0.58605,0.7497,0.8358,0.76815,0.814,0.7329,0.87775,0.89935,1.0069,1.10315,0.87525,0.8503,0.6269,0.642,0.62425,0.83205,0.92485,0.95875,0.72495,0.6236,1.92445,1.0249,1.03605,0.6568,0.59125,0.58455,0.63215,0.6935,0.86085,0.77645,0.67405,0.61725
"65a54037a9c2c5d66a3601b2","first-total","easy",7,0.96905,0.7895,0.6808,0.71315,0.5887,0.5808,0.8664,0.96935,0.96705,0.9938,0.9396,0.9556,0.54945,0.8191,0.855,0.6317,0.559,0.6019,0.8805,0.80315,0.8962,0.8752,0.9232,0.74555,1.04075,0.9403,1.0054,0.5908,0.61375,0.6288,0.8088,1.01405,0.8896,0.75905,1.73505,0.8725
"65d88c96834862408313a6c4","first-partial","easy",8,1.0421,0.8899,0.76555,0.74795,0.69655,0.6691,0.74675,0.79155,0.99945,0.9146,0.8093,0.8069,2.4606,1.62345,1.02615,0.7841,1.1884,1.0427,1.2742,0.8058,0.83265,0.7764,0.6822,1.04025,2.7874,1.43095,0.9704,0.73125,1.6393,1.30465,0.8102,0.75875,0.69825,0.77585,1.11315,0.8898
"56b8ad1be1d0a2000c154093","first-partial","hard",4,0.77815,0.67675,0.82345,0.92565,0.92625,0.93715,0.96915,1.21725,0.95585,1.08685,0.85345,0.75345,1.14885,0.76935,0.7534,0.6646,0.7922,0.76225,0.86125,0.86765,0.7401,0.74685,0.43665,0.65045,1.14335,0.79515,0.75175,0.68785,0.8949,0.748,0.7568,0.8116,0.7133,0.8614,0.46,0.67285
"58b20a24c352cc0001ed554b","first-total","hard",3,0.7791,0.80855,0.8899,0.846,0.81295,0.8894,0.84905,0.95845,0.81855,0.84505,0.82795,0.78685,0.7073,0.8127,0.72795,0.6384,0.8541,0.8139,0.75385,0.6536,0.8632,0.8863,0.71475,0.62385,0.7895,0.67745,0.6858,0.8128,0.64705,0.68715,0.76125,0.61285,0.7165,0.69945,0.6425,0.5942
"58c8497430c4cf0001ce9caf","first-total","hard",2,1.0198,1.0676,1.083,1.1189,1.05155,0.96085,1.278,1.4772,1.53555,1.289,1.6862,1.3713,1.5485,1.64775,1.06735,0.8767,0.82,0.86175,0.86435,0.7973,1.81125,0.96185,0.8538,0.91525,1.05915,1.884,1.1649,1.4583,1.09845,0.9238,0.95535,0.89275,1.19785,1.33115,1.1214,0.8641
"5a31373183019b00012f6322","first-total","hard",3,1.4958,1.18335,1.0244,1.0339,0.8923,1.0761,0.9225,0.80935,0.9749,0.9401,0.94465,0.9214,0.9037,0.7256,0.76155,0.8487,0.715,0.72645,0.6555,0.7136,0.61735,0.55845,0.55605,0.5901,0.853,0.6668,0.72395,0.7663,0.72255,0.73255,0.6751,0.58355,0.9398,0.5911,0.5482,0.50365
"5cb20f2d7c917b00172dfef5","first-partial","hard",3,0.9565,0.737,0.612,0.6065,0.6225,0.5715,0.5835,0.608,0.756,0.588,0.6795,0.58,0.6445,0.998,0.8165,0.582,0.704,0.723,0.7125,0.7965,0.739,1.021,0.898,0.864,0.586,1.0715,0.9205,0.6405,0.5785,0.6205,0.5985,0.6465,0.796,0.875,0.881,0.787
"5cf8cc7e95c070001721db8d","first-total","hard",1,1.53205,1.29425,1.02235,1.00895,0.9274,0.9545,0.81855,0.96865,1.42225,0.9006,1.40895,0.96745,1.30955,1.36675,1.12825,0.9499,1.4253,1.10655,1.41585,0.91995,1.50625,1.19675,1.0788,0.9058,1.6557,1.36825,1.45605,0.9866,1.0812,1.0236,0.99855,0.80515,1.15475,1.18255,1.11355,0.71435
"5d696d1c55742f001af29220","first-total","hard",4,1.27955,1.25845,0.9581,0.9083,0.8367,0.812,0.83915,0.6782,0.88065,1.0218,0.9303,0.72855,1.0389,0.719,0.6602,0.6222,0.61255,0.53815,0.57975,0.63495,0.80045,0.8097,0.7269,0.7263,1.1859,0.9878,0.7341,0.67705,0.7286,0.65205,0.7387,0.6307,0.8272,0.78955,0.7352,0.88965
"5ec702d5d810c61532066427","first-partial","hard",1,0.74575,0.69255,0.83645,0.90135,0.87575,0.7925,0.6362,0.70245,0.93555,0.74355,0.75845,0.78635,1.12115,0.90925,1.00205,1.0915,1.0579,1.00155,1.0358,1.1619,0.82935,0.92575,1.03655,0.7429,1.29245,0.88715,0.8365,0.9598,1.10135,0.8595,0.8843,0.90875,0.82055,1.0241,0.7939,0.75895
"5efea1f363271c3b76d4c9ed","first-total","hard",1,1.16155,0.99355,0.9575,0.90375,1.13655,0.9704,0.75285,0.696,1.0346,1.1234,1.2105,1.06295,0.9983,0.9179,0.6864,0.87745,0.96835,0.8296,0.8448,0.82895,0.9136,0.92815,0.99925,0.8246,1.0373,1.0192,0.92895,0.81935,0.7959,0.73095,0.70395,0.7295,0.921,0.9026,0.85515,0.7288
"5f160514e2a4062d2a0ded58","first-total","hard",2,0.8696,0.67555,0.7794,0.767,0.7153,0.67505,0.61875,0.5985,0.76335,0.7583,0.75265,0.87025,0.83395,0.76275,0.7487,0.59555,0.87865,0.6621,0.96975,0.59455,1.1105,0.6187,0.74385,1.07735,0.9901,0.7642,0.7477,0.6787,0.72265,0.5605,0.74425,0.6363,1.16105,1.03325,0.70095,0.81425
"5f3ec93efbd299158253f283","first-partial","hard",4,1.1854,1.46605,1.15395,0.9618,0.79935,0.7507,0.70305,0.70955,1.058,1.2799,1.2119,0.98615,1.2521,1.25075,1.08625,0.80345,0.76825,0.95565,0.7941,0.75145,0.79965,0.9194,0.963,0.89325,1.31285,1.2503,1.0636,0.80425,0.76295,0.7639,0.75125,0.76455,0.7963,1.03195,0.94955,0.96825
"5f75d01a857e4e27a575f7ca","first-partial","hard",4,1.1518,1.09355,1.2781,0.9156,0.72465,0.78405,0.6792,0.64755,1.32755,1.2961,1.14875,0.9522,1.73855,1.53815,1.0095,0.98585,0.93775,0.7435,1.07645,0.8628,0.92965,1.0814,1.2583,0.7866,2.01865,1.3025,1.3055,0.7761,1.0153,0.86095,0.832,0.81655,0.91625,0.8369,1.015,0.74145
"5fa0803077c8550dcb24237d","first-partial","hard",1,0.5922,0.6445,0.68075,0.644,0.58405,0.5762,0.6396,0.6123,0.78095,0.85145,0.72595,0.78565,0.54865,0.49825,0.57515,0.576,0.57055,0.47985,0.5641,0.64775,0.63765,0.67075,0.40845,0.50325,0.7953,0.62315,0.5123,0.49735,0.5048,0.5057,0.5263,0.47895,0.48775,0.562,0.4765,0.46785
